itemLink,productImageLink,name,brand,flavor,vgpg,nic,size
https://vapegateae.com/collections/all-e-liquids/products/tokyo-iced-grapefruit-e-liquid,//vapegateae.com/cdn/shop/products/TOKYO-E-LIQUID-3_01_300x300.png?v=1667210469,Tokyo Iced GrapeFruit E Liquid,Tokyo Ejuice,"grapefruit, ice",[],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-maize-e-liquid,//vapegateae.com/cdn/shop/products/five-ten-eliquid-australia-mterk-terkish-maize_300x300.jpg?v=1687933386,M.terk - Terkish Maize E Liquid,M. Terk,butterscotch & corn,['70/30'],"[3, 6, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-limonata-e-liquid,//vapegateae.com/cdn/shop/files/mterk-eliquid-VAPE-terkish-limonata-ABUDHABI-DUBAI-UAE_300x300.png?v=1687933334,M.terk - Terkish Limonata E Liquid,M. Terk,strawberry & lemonade,['70/30'],"[3, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/bubble-gum-kings-pomegranate-60ml-by-dr-vapes,//vapegateae.com/cdn/shop/products/07--vapeGate-3frame-post_02_300x300.png?v=1619502700,Bubble Gum Kings Pomegranate 60ml by Dr. Vapes,Dr. Vapes,bubble gum and pomegranate,['70/30'],"[3, 12, 18]",[60]
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-kreme-e-liquid,//vapegateae.com/cdn/shop/files/mterk-eliquid-VAPE-terkish-kreme-ABUDHABI-DUBAI-UAE_1_300x300.png?v=1687933264,M.terk - Terkish Kreme E Liquid,M. Terk,"butterscotch, caramel, tobacco",['70/30'],"[3, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-nectar-e-liquid,//vapegateae.com/cdn/shop/files/mterk-eliquid-VAPE-terkish-nectar-ABUDHABI-DUBAI-UAE_300x300.png?v=1687933772,M.terk - Terkish Nectar E Liquid,M. Terk,nectar peach,['70/30'],"[3, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/pod-salt-cuban-creme-eliquid,//vapegateae.com/cdn/shop/products/ps_subo-cuban_creme_300x300.jpg?v=1627565903,Pod Salt - Cuban Creme Eliquid,Pod Salt,"tobacco, vanilla, cream",['70/30'],[3],[50]
https://vapegateae.com/collections/all-e-liquids/products/mad-hatter-smooth-tobacco-e-liquid-uae,//vapegateae.com/cdn/shop/files/MAD-HATTER-ELIQUID-SMOOTH-TOBACCO-ABUDHABI-DUBAI-UAE-copy_300x300.png?v=1687958636,I Love Salt Mad Hatter Smooth Tobacco E-Liquid,Mad Hatter- I Love Salts,tobacco,['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/i-love-salt-mad-hatter-apple-watermelon-ice-e-liquid-sharjah,//vapegateae.com/cdn/shop/files/MAD-HATTER-ELIQUID-APPLE-WATERMELON-ICE-ABUDHABI-DUBAI-UAE-copy_300x300.png?v=1687958562,I Love Salt Mad Hatter Apple Watermelon Ice E-Liquid,Mad Hatter- I Love Salts,"apple, watermelon, menthol",['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/mad-hatter-caramel-cream-e-liquid-abudhabi,//vapegateae.com/cdn/shop/files/MAD-HATTER-ELIQUID-CRAMEL-CREME-ABUDHABI-DUBAI-UAE-copy_300x300.png?v=1687958610,I Love Salt Mad Hatter Caramel Cream E-Liquid,Mad Hatter- I Love Salts,"caramel, milk",['70/30'],"[0, 3, 6]",[60]
